PERMNO,date,TICKER,PRC,RET,SHROUT,vwretd,sprtrn,SECTOR
14593,2023-08-31,AAPL,187.87,-0.042454,15634232.0,-0.020608,-0.017716,Industrials
14593,2023-09-29,AAPL,171.21001,-0.088678,15550061.0,-0.04739,-0.048719,Industrials
14593,2023-10-31,AAPL,170.77,-0.002570,15552752.0,-0.028865,-0.02198,Industrials
14593,2023-11-30,AAPL,189.95,0.113720,15552752.0,0.092053,0.089179,Industrials
14593,2023-12-29,AAPL,192.53,0.013583,15460223.0,0.053604,0.044229,Industrials
14593,2024-01-31,AAPL,184.39999,-0.042227,15441881.0,0.007561,0.015896,Industrials
14593,2024-02-29,AAPL,180.75,-0.018492,15441881.0,0.050583,0.051721,Industrials
14593,2024-03-28,AAPL,171.48,-0.051286,15337686.0,0.03245,0.031019,Industrials
14593,2024-04-30,AAPL,170.33,-0.006706,15334082.0,-0.042724,-0.041615,Industrials
14593,2024-05-31,AAPL,192.25,0.130159,15334082.0,0.046553,0.048021,Industrials
14593,2024-06-28,AAPL,210.62,0.095553,15222259.0,0.026073,0.03467,Industrials
14593,2024-07-31,AAPL,222.08,0.054411,15204137.0,0.019878,0.011321,Industrials
14593,2024-08-30,AAPL,229.0,0.032286,15204137.0,0.021572,0.022835,Industrials
14593,2024-09-30,AAPL,233.0,0.017467,15116786.0,0.020969,0.020197,Industrials
14593,2024-10-31,AAPL,225.91,-0.030429,15115823.0,-0.008298,-0.009897,Industrials
14593,2024-11-29,AAPL,237.33,0.051658,15115823.0,0.064855,0.057301,Industrials
14593,2024-12-31,AAPL,250.42,0.055155,15115823.0,-0.031582,-0.02499,Industrials
21413,2021-06-30,META,15.12,C,100.0,0.023422,0.022214,Communication Services
21413,2021-07-30,META,14.62,-0.033069,2650.0,0.011828,0.022748,Communication Services
21413,2021-08-31,META,15.11,0.033516,4150.0,0.027146,0.02899,Communication Services
21413,2021-09-30,META,14.16,-0.062872,7400.0,-0.042243,-0.047569,Communication Services
21413,2021-10-29,META,15.32,0.081921,9725.0,0.064651,0.069144,Communication Services
21413,2021-11-30,META,16.1,0.050914,50400.0,-0.01835,-0.008334,Communication Services
21413,2021-12-31,META,15.18,-0.057143,61525.0,0.033341,0.043613,Communication Services
50876,2021-05-28,LLY,199.74001,0.097500,959025.0,0.007092,0.005487,Health Care
50876,2021-06-30,LLY,229.52,0.149094,959025.0,0.023422,0.022214,Health Care
50876,2021-07-30,LLY,243.5,0.060910,959025.0,0.011828,0.022748,Health Care
50876,2021-08-31,LLY,258.29001,0.064230,956581.0,0.027146,0.02899,Health Care
50876,2021-09-30,LLY,231.05,-0.105463,956581.0,-0.042243,-0.047569,Health Care
50876,2021-10-29,LLY,254.75999,0.102618,956592.0,0.064651,0.069144,Health Care
50876,2021-11-30,LLY,248.03999,-0.023041,956592.0,-0.01835,-0.008334,Health Care
50876,2021-12-31,LLY,276.22,0.113611,956592.0,0.033341,0.043613,Health Care
50876,2022-01-31,LLY,245.39,-0.111614,956592.0,-0.059822,-0.052585,Health Care
50876,2022-02-28,LLY,249.95,0.022576,952347.0,-0.021838,-0.031361,Health Care
50876,2022-03-31,LLY,286.37,0.145709,952347.0,0.030506,0.035773,Health Care
50876,2022-04-29,LLY,292.13,0.020114,952347.0,-0.089387,-0.087957,Health Care
50876,2022-05-31,LLY,313.44,0.076302,950160.0,-0.002113,5.3e-05,Health Care
50876,2022-06-30,LLY,324.23001,0.034424,950160.0,-0.083998,-0.08392,Health Care
50876,2022-07-29,LLY,329.69,0.016840,950160.0,0.090351,0.091116,Health Care
50876,2022-08-31,LLY,301.23001,-0.083351,950175.0,-0.036233,-0.04244,Health Care
50876,2022-09-30,LLY,323.35001,0.073432,950175.0,-0.091323,-0.093396,Health Care
50876,2022-10-31,LLY,362.09,0.119808,950175.0,0.077394,0.079863,Health Care
50876,2022-11-30,LLY,371.07999,0.027535,950178.0,0.052354,0.053753,Health Care
50876,2022-12-30,LLY,365.84,-0.014121,987124.0,-0.057119,-0.058971,Health Care
50876,2023-01-31,LLY,344.14999,-0.059288,987124.0,0.071823,0.061753,Health Care
50876,2023-02-28,LLY,311.22,-0.092402,950296.0,-0.024666,-0.026112,Health Care
50876,2023-03-31,LLY,343.42001,0.103464,950296.0,0.02395,0.035052,Health Care
50876,2023-04-28,LLY,395.85999,0.152699,949273.0,0.008976,0.014642,Health Care
50876,2023-05-31,LLY,429.45999,0.087733,949273.0,0.000708,0.002482,Health Care
50876,2023-06-30,LLY,468.98001,0.092023,949273.0,0.066183,0.064728,Health Care
50876,2023-07-31,LLY,454.54999,-0.030769,949273.0,0.035618,0.031139,Health Care
50876,2023-08-31,LLY,554.20001,0.221714,949295.0,-0.020608,-0.017716,Health Care
50876,2023-09-29,LLY,537.13,-0.030801,949295.0,-0.04739,-0.048719,Health Care
50876,2023-10-31,LLY,553.92999,0.031277,949295.0,-0.028865,-0.02198,Health Care
50876,2023-11-30,LLY,591.03998,0.069034,949307.0,0.092053,0.089179,Health Care
50876,2023-12-29,LLY,582.91998,-0.013738,949307.0,0.053604,0.044229,Health Care
50876,2024-01-31,LLY,645.60999,0.107545,949307.0,0.007561,0.015896,Health Care
50876,2024-02-29,LLY,753.67999,0.169406,950164.0,0.050583,0.051721,Health Care
50876,2024-03-28,LLY,777.96002,0.032215,950766.0,0.03245,0.031019,Health Care
50876,2024-04-30,LLY,781.09998,0.004036,950766.0,-0.042724,-0.041615,Health Care
50876,2024-05-31,LLY,820.34003,0.051901,950405.0,0.046553,0.048021,Health Care
50876,2024-06-28,LLY,905.38,0.103664,950405.0,0.026073,0.03467,Health Care
50876,2024-07-31,LLY,804.27002,-0.111677,950405.0,0.019878,0.011321,Health Care
50876,2024-08-30,LLY,960.02002,0.195270,950426.0,0.021572,0.022835,Health Care
50876,2024-09-30,LLY,885.94,-0.077165,950426.0,0.020969,0.020197,Health Care
50876,2024-10-31,LLY,829.73999,-0.063435,949316.0,-0.008298,-0.009897,Health Care
50876,2024-11-29,LLY,795.34998,-0.039880,949316.0,0.064855,0.057301,Health Care
50876,2024-12-31,LLY,772.0,-0.029358,949316.0,-0.031582,-0.02499,Health Care
84788,2021-05-28,AMZN,3223.07007,-0.070470,504324.0,0.007092,0.005487,Consumer Staples
84788,2021-06-30,AMZN,3440.15991,0.067355,506000.0,0.023422,0.022214,Consumer Staples
84788,2021-07-30,AMZN,3327.59009,-0.032722,506441.0,0.011828,0.022748,Consumer Staples
84788,2021-08-31,AMZN,3470.79004,0.043034,506441.0,0.027146,0.02899,Consumer Staples
84788,2021-09-30,AMZN,3285.04004,-0.053518,507000.0,-0.042243,-0.047569,Consumer Staples
84788,2021-10-29,AMZN,3372.42993,0.026602,507148.0,0.064651,0.069144,Consumer Staples
84788,2021-11-30,AMZN,3507.07007,0.039924,507148.0,-0.01835,-0.008334,Consumer Staples
84788,2021-12-31,AMZN,3334.34009,-0.049252,509000.0,0.033341,0.043613,Consumer Staples
84788,2022-01-31,AMZN,2991.46997,-0.102830,508844.0,-0.059822,-0.052585,Consumer Staples
84788,2022-02-28,AMZN,3071.26001,0.026673,508624.0,-0.021838,-0.031361,Consumer Staples
84788,2022-03-31,AMZN,3259.94995,0.061437,509000.0,0.030506,0.035773,Consumer Staples
84788,2022-04-29,AMZN,2485.62988,-0.237525,508720.0,-0.089387,-0.087957,Consumer Staples
84788,2022-05-31,AMZN,2404.18994,-0.032764,508720.0,-0.002113,5.3e-05,Consumer Staples
84788,2022-06-30,AMZN,106.21,-0.116459,10183000.0,-0.083998,-0.08392,Consumer Staples
84788,2022-07-29,AMZN,134.95,0.270596,10187555.0,0.090351,0.091116,Consumer Staples
84788,2022-08-31,AMZN,126.77,-0.060615,10187555.0,-0.036233,-0.04244,Consumer Staples
