PERMNO,date,TICKER,PRC,VOL,RET,sprtrn
10138,2024-01-31,TROW,108.45,319141.0,0.007057,0.015896
10138,2024-02-29,TROW,113.35,278487.0,0.045182,0.051721
10138,2024-03-28,TROW,121.92,267471.0,0.086546,0.031019
10138,2024-04-30,TROW,109.57,328917.0,-0.101296,-0.041615
10138,2024-05-31,TROW,117.83,267885.0,0.075386,0.048021
10138,2024-06-28,TROW,115.31,190892.0,-0.010863,0.03467
10138,2024-07-31,TROW,114.21,232985.0,-0.009539,0.011321
10138,2024-08-30,TROW,106.04,234348.0,-0.071535,0.022835
10138,2024-09-30,TROW,108.93,235429.0,0.038948,0.020197
10138,2024-10-31,TROW,109.86,257709.0,0.008538,-0.009897
10138,2024-11-29,TROW,123.84,284719.0,0.127253,0.057301
10138,2024-12-31,TROW,113.09,288580.0,-0.076793,-0.02499
10145,2019-01-31,HON,143.63,608934.0,0.087118,0.078684
10145,2019-02-28,HON,154.07001,563681.0,0.078396,0.029729
10145,2019-03-29,HON,158.92,601179.0,0.031479,0.017924
10145,2019-04-30,HON,173.63,623880.0,0.092562,0.039313
10145,2019-05-31,HON,164.31,633779.0,-0.048955,-0.065778
10145,2019-06-28,HON,174.59,469750.0,0.062565,0.06893
10145,2019-07-31,HON,172.46001,463935.0,-0.0122,0.013128
10145,2019-08-30,HON,164.62,567177.0,-0.040705,-0.018092
10145,2019-09-30,HON,169.2,605551.0,0.027822,0.017181
10145,2019-10-31,HON,172.73,620811.0,0.020863,0.020432
10145,2019-11-29,HON,178.55,541974.0,0.038905,0.034047
10145,2019-12-31,HON,177.0,506316.0,-0.008681,0.02859
10145,2020-01-31,HON,173.22,545154.0,-0.021356,-0.001628
10145,2020-02-28,HON,162.17,605891.0,-0.058596,-0.08411
10145,2020-03-31,HON,133.78999,1341278.0,-0.175002,-0.125119
10145,2020-04-30,HON,141.89999,743490.0,0.060617,0.126844
10145,2020-05-29,HON,145.85001,774093.0,0.034179,0.045282
10145,2020-06-30,HON,144.59,829586.0,-0.008639,0.018388
