ticker,end_date
HWM,
I,1996-04-01
IAC,2008-08-21
IBM,
ICE,
IDXX,
IEX,
IFF,
IGT,2014-06-20
IKN,2000-06-29
ILMN,2024-06-24
IMNX,2002-07-16
INCLF,2002-07-22
INCY,
INFO,2022-03-02
INGR,1997-07-28
INTC,
INTU,
INVH,
IP,
IPG,
IPGP,2022-06-21
IQV,
IR,2009-07-01
IR,
IRM,
ISRG,
IT,
ITT,2011-11-01
ITW,
IVZ,
J,
JAVA,2010-01-27
JBHT,
JBL,2014-11-05
JBL,
JCI,
JCP,2013-12-02
JEC,2019-12-10
JEF,2019-09-26
JH,1998-04-01
JHF,2004-04-29
JKHY,
JNJ,
JNPR,2025-07-09
JNS,2011-11-23
JNY,2009-03-04
JOS,2000-05-10
JOY,2015-10-08
JP,2006-04-03
JPM,
JWN,2020-06-22
K,
KATE,2008-12-02
KBH,2009-12-21
KDP,2018-07-02
KDP,
KEY,
KEYS,
KG,2010-12-20
KHC,
KIM,
KKR,
KLAC,
KM,2002-01-17
KMB,
KMG,2006-08-11
KMI,2007-05-31
KMI,
KMX,
KO,
KORS,2018-09-19
KR,
KRB,2006-01-03
KRFT,2015-07-06
KRI,2006-06-28
KSE,2007-08-27
KSS,2020-09-21
KSU,2000-07-13
KSU,2021-12-14
KVUE,
KWP,1999-11-16
L,
LB,2021-08-03
LDG,2001-07-02
LDOS,2013-09-23
LDOS,
LDW.B,1999-12-08
LEG,2021-12-20
LEHMQ,2008-09-17
LEN,
LH,
LHX,
LIFE,2014-01-24
LII,
LIN,
LKQ,
LLL,2019-07-01
LLTC,2017-03-13
LLX,1997-10-23
LLY,
LM,2016-12-02
LMT,
LNC,2023-09-18
LNT,
LO,2015-06-12
LOR,1996-04-23
LOW,
LPX,2006-11-10
LRCX,
LSI,2014-05-07
LU,2006-12-01
LUB,1997-01-02
LULU,
LUMN,2023-03-20
LUV,
LVLT,2017-10-13
LVS,
LW,
LXK,2012-10-01
LYB,
LYV,
M,2020-04-06
MA,
MAA,
MAC,2019-12-23
MAR,
MAS,
MAT,2019-06-07
MAY,2005-08-29
MBI,2009-12-21
MCD,
MCHP,
MCIC,1998-09-15
MCK,
MCO,
MD,1997-08-01
MDLZ,
MDP,2011-01-04
MDR,2003-08-20
MDT,
MEA,2002-01-30
MEDI,2007-06-01
MEE,2000-12-22
MEE,2011-06-02
MEL,2007-07-02
MER,2009-01-02
MERQ,2006-01-04
MET,
META,
MFE,2011-03-01
MGM,
MHK,
MHS,2012-04-02
MI,2011-07-06
MII,1999-06-22
MIL,2010-07-15
MIR,2000-06-01
MIR,2003-07-17
MJN,2017-06-15
MKC,
MKG,2000-10-18
MKTX,
MLM,
MMC,
MMI,2012-05-22
MMM,
MNK,2017-07-26
MNR,1998-09-28
MNST,
MO,
MOB,1999-12-01
MOH,
MOLX,2013-12-09
MON,2018-06-07
MOS,
MPC,
MPWR,
MRK,
MRNA,
MRO,2024-11-26
MS,
MSCI,
MSFT,
MSI,
MST,1998-08-14
MTB,
MTCH,
MTD,
MTG,2008-10-31
MTL,1999-09-20
MTLQQ,2009-06-03
MTW,2009-09-01
MU,
MUR,2017-07-26
MWI,1999-05-28
MWV,2015-07-02
MWW,2011-12-19
MXIM,2007-09-27
MXIM,2021-08-30
MYG,2006-04-03
MYL,2020-11-17
MZIAQ,2000-06-29
NAE,1997-08-07
NAV,2006-12-20
NAVI,2018-06-05
NBL,2020-10-12
NBR,2015-03-23
NC,2000-06-05
NCC,2009-01-02
NCE,2000-08-21
NCLH,
NCR,2007-10-01
NDAQ,
NDSN,
NE,2009-03-27
NE,2015-07-20
NEE,
NEM,
NFB,2006-12-01
NFLX,
NFX,2019-02-15
NGH,2000-12-12
NI,
NKE,
NKTR,2019-10-03
NLC,1999-08-02
NLOK,2022-11-08
NLSN,2022-10-12
NLV,2000-01-06
NMK,2002-02-01
NOC,
NOV,2021-09-20
NOVL,2011-04-28
NOW,
NRG,
NRTLQ,2002-07-22
NSC,
NSI,2001-12-03
NSM,2011-09-26
NTAP,
NTRS,
NUE,
NVDA,
NVLS,2012-06-05
NVR,
NWL,2023-09-18
NWS,
NWSA,
NXPI,
NXTL,2005-08-15
NYN,1997-08-15
NYT,2010-12-20
NYX,2013-11-13
O,
OAT,2001-08-03
ODFL,
ODP,2010-12-20
OGN,2023-10-18
OI,2000-12-11
OI,2016-12-02
OK,2001-04-02
OKE,2001-08-30
OKE,
OM,1996-10-01
OMC,
OMX,2008-06-23
ON,
ONE,2004-07-01
ORCL,
ORLY,
ORX,1999-03-01
OTIS,
OWENQ,2000-10-02
OXY,
PAC,1997-04-01
PALM,2002-08-14
PANW,
PARA,
PAS,1998-01-30
PAYC,
PAYX,
PBCT,2022-04-04
PBG,2010-03-01
PBI,2017-03-01
PBY,2000-04-03
PCAR,
PCG,2019-01-18
PCG,
PCH,2001-07-09
PCL,2016-02-22
PCP,2016-02-01
PCS,2004-04-23
PD,2007-03-20
PDCO,2018-03-19
PDG,2002-07-22
PEAK,2024-03-04
PEG,
PEL,1997-06-19
PENN,2022-09-19
PEP,
PET,1998-06-29
PETM,2015-03-12
PFE,
PFG,
PG,
PGL,2007-02-22
PGN,2012-07-02
PGR,
PH,
PHA,2003-04-16
PHB,1999-10-04
PHM,
PKG,
PKI,2023-05-16
PLD,
PLL,2015-08-31
PLTR,
PM,
PMCS,2007-07-02
PMI,1996-05-31
PNC,
PNR,
PNU,2000-04-03
PNW,
PODD,
POM,2016-03-24
POOL,
PPG,
PPL,
PPW,1999-11-30
PRD,2000-12-12
PRGO,2021-09-20
PRU,
PSA,
PSFT,2004-12-29
PSX,
PTC,2007-01-03
PTC,
PTV,2010-11-17
PVH,2022-09-19
PVN,2005-10-03
PVT,1999-07-01
PWER,2005-03-14
PWJ,2000-11-06
PWR,
PX,2018-10-31
PXD,2024-05-08
PYPL,
PZE,1998-12-31
Q,2011-04-01
QCOM,
QEP,2015-07-01
QLGC,2011-01-18
QRVO,2024-12-23
QTRN,2003-09-26
R,2017-06-19
RAD,2000-07-27
RAI,2017-07-25
RAL,2001-12-13
RATL,2003-02-21
RBD,1999-03-25
RBK,2006-02-01
RCL,
RDC,2014-08-19
RDS.A,2002-07-22
RE,2023-06-10
REG,
REGN,
RF,
RHI,2024-06-24
RHT,2019-07-15
RIG,2008-12-19
RIG,2017-07-26
RJF,
RL,
RLM,2000-05-04
RMD,
RML,2000-12-12
RNB,2000-01-03
ROH,2009-04-02
ROK,
ROL,
ROP,
ROST,
RRC,2018-06-18
RRD,2012-12-12
RSG,
RSHCQ,2011-07-01
RTN,2020-04-06
RTX,
RVTY,
RX,2010-02-26
RYAN,1997-01-02
RYC,1999-08-13
RYI,1998-07-01
S,2013-07-09
SAF,2008-09-23
SAI,1999-01-04
SANM,2007-07-02
SAPE,2002-05-13
SB,1997-11-28
SBAC,
SBL,2007-01-10
SBNY,2023-03-15
SBUX,
SCG,2019-01-02
SCHW,
SCI,2000-03-16
SDS,2005-08-12
SE,2017-02-27
SEBL,2006-02-01
SEDG,2023-10-18
SEE,2023-10-18
SEG,2000-11-22
SFA,2006-02-27
SFS,1997-07-28
SGID,2000-06-21
SGP,2009-11-04
SHLD,2012-09-05
SHN,1997-01-02
SHW,
SIAL,2015-11-18
SIG,2018-03-19
SII,2010-08-27
SIVB,2023-03-15
SJM,
SK,1998-04-01
SLB,
SLG,2021-03-22
SLM,2014-05-01
SLR,2007-10-02
SMCI,
SMI,2000-12-12
SMS,2000-06-08
SNA,
SNDK,2016-05-12
SNI,2018-03-07
SNPS,
SNT,1999-10-26
SNV,2008-01-02
SO,
SOLV,
SOTR,2004-11-01
SOV,2009-01-30
SPG,
SPGI,
SPLS,2017-09-13
SRCL,2018-12-03
SRE,
SRR,1997-10-07
SSP,2008-07-01
STE,
STI,2019-12-09
STJ,2017-01-05
STLD,
STO,1998-11-18
STR,2010-07-01
STT,
STX,
STZ,
SUB,2001-03-01
SUN,2012-10-05
SUNEQ,2011-12-19
SVU,2012-05-01
SW,
SWK,
SWKS,
SWN,2017-04-04
SWY,2015-01-27
SXCL,2001-05-14
SYF,
SYK,
SYMC,2019-11-05
SYY,
T,
TA,1999-07-22
TAP,
TCOMA,1999-03-10
TDC,2017-06-19
TDG,
TDM,1997-09-02
TDY,
TE,2016-07-01
TECH,
TEG,2015-06-30
TEK,2007-11-16
TEL,2009-06-26
TEL,
TEN,1999-11-05
TER,2013-12-23
TER,
TEX,2008-11-06
TFC,
TFX,2025-04-24
TGNA,2017-06-02
TGT,
THC,2016-04-18
THY,1996-10-16
TIE,2012-12-24
TIF,2021-01-07
TIN,2007-12-31
TJX,
TKO,
TKR,2001-08-07
TLAB,2011-12-21
TMC,2000-06-13
TMC.A,2000-06-13
TMK,2019-08-08
TMO,
TMUS,2013-05-01
TMUS,
TNB,2004-08-03
TOS,2001-09-17
TOY,2005-07-22
TPL,
TPR,
TRB,2007-12-21
TRGP,
TRIP,2019-12-23
TRMB,
TROW,
TRV,
TRW,2002-12-12
TSCO,
TSG,2007-04-02
TSLA,
TSN,
TSS,2019-09-23
TT,2008-06-06
TT,
TTWO,
TUP,2004-03-25
TWC,2016-05-18
TWTR,2022-11-01
TWX,2018-06-15
TX,2001-10-10
TXN,
TXT,
TXU,2007-10-10
TYL,
UA,2022-06-21
UAA,2022-06-21
UAL,
UAWGQ,2002-05-15
UBER,
UCC,1999-05-03
UCL,2005-08-11
UCM,2000-10-23
UDR,
UHS,
UIS,2008-11-11
UK,2001-02-07
ULTA,
UMG,2000-06-15
UN,2002-07-22
UNH,
UNM,2021-09-20
UNP,
UPC,2004-07-01
UPR,2000-07-17
UPS,
URBN,2017-03-20
URI,
USB,
USBC,1997-08-04
USH,1997-06-18
USHC,1996-07-19
USS,1998-10-02
UST,2009-01-06
USW,2000-07-03
UTX,2020-04-03
UVN,2007-03-29
V,
VAR,2021-04-20
VAT,1996-09-06
VFC,2024-04-03
VIAB,2019-12-05
VIAC,2022-02-17
VIAV,2013-12-23
VICI,
VLO,
VLTO,
VMC,
VNO,2023-01-04
VNT,2021-03-22
VO,2000-12-11
VRSK,
VRSN,
VRTS,2005-07-05
VRTX,
VST,
VSTNQ,2006-01-03
VTR,
VTRS,
VTSS,2002-08-21
VZ,
WAB,
WAI,1998-08-11
WAMUQ,2008-09-30
WAT,
WB,2009-01-02
WBA,
WBD,
WCG,2020-01-28
WCOEQ,2002-05-15
WDAY,
WDC,
WEC,
WELL,
WEN,2008-09-30
WFC,
WFM,2017-08-28
WFT,2009-02-26
WHR,2024-03-18
WIN,2015-04-07
WLA,2000-06-20
WLL,2002-02-11
WLP,2004-12-01
WLTW,2022-01-20
WM,
WMB,
WMT,
WMX,1998-07-17
WNDXQ,2004-12-03
WOR,2004-12-20
WPX,2014-03-24
WRB,
WRK,2024-07-08
WSM,
WST,
WTW,
WU,2021-12-20
WWY,2008-10-07
WY,
WYE,2009-10-16
WYND,2018-05-31
WYNN,
X,2014-07-02
XEC,2020-03-03
XEL,
XL,2018-09-12
XLNX,2022-02-15
XOM,
XRAY,2024-04-03
XRX,2021-03-22
XTO,2010-06-28
XYL,
YNR,2000-10-03
YRCW,1996-11-04
YUM,
ZBH,
ZBRA,
ZION,2024-03-18
ZTS,
