PERMNO,date,TICKER,COMNAM,CUSIP,PRC,VOL,RET,SHROUT,vwretd
10107,2015-02-27,MSFT,MICROSOFT CORP,59491810,43.85,6564632.0,0.093069,8203785.0,0.055915
10107,2015-03-31,MSFT,MICROSOFT CORP,59491810,40.655,8243346.0,-0.072862,8113000.0,-0.010397
10107,2015-04-30,MSFT,MICROSOFT CORP,59491810,48.64,8745897.0,0.196409,8089575.0,0.008766
10107,2015-05-29,MSFT,MICROSOFT CORP,59491810,46.86,6331563.0,-0.030222,8089575.0,0.010277
10107,2015-06-30,MSFT,MICROSOFT CORP,59491810,44.15,6649349.0,-0.057832,8027000.0,-0.019231
10107,2015-07-31,MSFT,MICROSOFT CORP,59491810,46.7,7256877.0,0.057758,7997981.0,0.012108
10107,2015-08-31,MSFT,MICROSOFT CORP,59491810,43.52,7769602.0,-0.061456,7997981.0,-0.059926
10107,2015-09-30,MSFT,MICROSOFT CORP,59491810,44.26,6740501.0,0.017004,7986000.0,-0.033756
10107,2015-10-30,MSFT,MICROSOFT CORP,59491810,52.64,8580914.0,0.189336,7987913.0,0.073937
10107,2015-11-30,MSFT,MICROSOFT CORP,59491810,54.35,6634965.0,0.039324,7987913.0,0.002404
10107,2015-12-31,MSFT,MICROSOFT CORP,59491810,55.48,7934234.0,0.020791,7925000.0,-0.022209
10107,2016-01-29,MSFT,MICROSOFT CORP,59491810,55.09,9279988.0,-0.00703,7909303.0,-0.057085
10107,2016-02-29,MSFT,MICROSOFT CORP,59491810,50.88,8147721.0,-0.069886,7909303.0,0.00062
10107,2016-03-31,MSFT,MICROSOFT CORP,59491810,55.23,6412683.0,0.085495,7870000.0,0.070491
10107,2016-04-29,MSFT,MICROSOFT CORP,59491810,49.87,6998592.0,-0.097049,7860467.0,0.011718
10107,2016-05-31,MSFT,MICROSOFT CORP,59491810,53.0,5310870.0,0.069982,7860467.0,0.01434
10107,2016-06-30,MSFT,MICROSOFT CORP,59491810,51.17,8246050.0,-0.034528,7808000.0,0.002947
10107,2016-07-29,MSFT,MICROSOFT CORP,59491810,56.68,6476461.0,0.10768,7792515.0,0.038815
10107,2016-08-31,MSFT,MICROSOFT CORP,59491810,57.46,4676906.0,0.020113,7792515.0,0.0028
10107,2016-09-30,MSFT,MICROSOFT CORP,59491810,57.6,5275975.0,0.002436,7779737.0,0.003013
10107,2016-10-31,MSFT,MICROSOFT CORP,59491810,59.92,6148560.0,0.040278,7775351.0,-0.021544
10107,2016-11-30,MSFT,MICROSOFT CORP,59491810,60.26,6132204.0,0.012183,7775351.0,0.040488
10107,2016-12-30,MSFT,MICROSOFT CORP,59491810,62.14,5135897.0,0.031198,7730000.0,0.018763
10107,2017-01-31,MSFT,MICROSOFT CORP,59491810,64.65,4944958.0,0.040393,7727530.0,0.022153
10107,2017-02-28,MSFT,MICROSOFT CORP,59491810,63.98,4409458.0,-0.004331,7727530.0,0.032598
10107,2017-03-31,MSFT,MICROSOFT CORP,59491810,65.86,4892383.0,0.029384,7723000.0,0.002062
10107,2017-04-28,MSFT,MICROSOFT CORP,59491810,68.46,4333254.0,0.039478,7720515.0,0.009655
10107,2017-05-31,MSFT,MICROSOFT CORP,59491810,69.84,5174170.0,0.025854,7720515.0,0.009335
10107,2017-06-30,MSFT,MICROSOFT CORP,59491810,68.93,6305762.0,-0.01303,7708000.0,0.009571
10107,2017-07-31,MSFT,MICROSOFT CORP,59491810,72.7,4701882.0,0.054693,7702244.0,0.020277
10107,2017-08-31,MSFT,MICROSOFT CORP,59491810,74.77,4433057.0,0.033838,7702244.0,0.0016
10107,2017-09-29,MSFT,MICROSOFT CORP,59491810,74.49,3766723.0,-0.003745,7715433.0,0.023729
10107,2017-10-31,MSFT,MICROSOFT CORP,59491810,83.18,4511873.0,0.11666,7714590.0,0.019275
10107,2017-11-30,MSFT,MICROSOFT CORP,59491810,84.17,4220760.0,0.016951,7714590.0,0.027231
10107,2017-12-29,MSFT,MICROSOFT CORP,59491810,85.54,4663253.0,0.016277,7705000.0,0.012122
10107,2018-01-31,MSFT,MICROSOFT CORP,59491810,95.01,5744603.0,0.110708,7699793.0,0.050577
10107,2018-02-28,MSFT,MICROSOFT CORP,59491810,93.77,7257085.0,-0.008631,7699793.0,-0.039455
10107,2018-03-29,MSFT,MICROSOFT CORP,59491810,91.27,7507195.0,-0.026661,7690000.0,-0.018421
10107,2018-04-30,MSFT,MICROSOFT CORP,59491810,93.52,6699236.0,0.024652,7683198.0,0.004679
10107,2018-05-31,MSFT,MICROSOFT CORP,59491810,98.84,5091267.0,0.061377,7683198.0,0.026146
10107,2018-06-29,MSFT,MICROSOFT CORP,59491810,98.61,6018073.0,-0.002327,7677000.0,0.005359
10107,2018-07-31,MSFT,MICROSOFT CORP,59491810,106.08,5679044.0,0.075753,7668217.0,0.031573
10107,2018-08-31,MSFT,MICROSOFT CORP,59491810,112.33,4565661.0,0.062877,7668217.0,0.030233
10107,2018-09-28,MSFT,MICROSOFT CORP,59491810,114.37,4799331.0,0.018161,7680000.0,0.000425
10107,2018-10-31,MSFT,MICROSOFT CORP,59491810,106.81,9279623.0,-0.066101,7676219.0,-0.074045
10107,2018-11-30,MSFT,MICROSOFT CORP,59491810,110.89,7199533.0,0.042505,7676219.0,0.018512
10107,2018-12-31,MSFT,MICROSOFT CORP,59491810,101.57,9443269.0,-0.084047,7683000.0,-0.08989
10107,2019-01-31,MSFT,MICROSOFT CORP,59491810,104.43,7140356.0,0.028158,7672213.0,0.088294
10107,2019-02-28,MSFT,MICROSOFT CORP,59491810,112.03,4688757.0,0.077181,7672213.0,0.032724
10107,2019-03-29,MSFT,MICROSOFT CORP,59491810,117.94,5893465.0,0.052754,7666000.0,0.012962
10107,2019-04-30,MSFT,MICROSOFT CORP,59491810,130.60001,4330694.0,0.107343,7662818.0,0.037893
10107,2019-05-31,MSFT,MICROSOFT CORP,59491810,123.68,5472320.0,-0.049464,7662818.0,-0.061679
10107,2019-06-28,MSFT,MICROSOFT CORP,59491810,133.96001,5077693.0,0.083118,7643000.0,0.067279
10107,2019-07-31,MSFT,MICROSOFT CORP,59491810,136.27,4835534.0,0.017244,7635409.0,0.011854
10107,2019-08-30,MSFT,MICROSOFT CORP,59491810,137.86,5853810.0,0.015044,7635409.0,-0.020339
10107,2019-09-30,MSFT,MICROSOFT CORP,59491810,139.03,4777427.0,0.008487,7634000.0,0.016033
10107,2019-10-31,MSFT,MICROSOFT CORP,59491810,143.37,5627182.0,0.031216,7628806.0,0.019257
10107,2019-11-29,MSFT,MICROSOFT CORP,59491810,151.38,3930340.0,0.059427,7628806.0,0.034999
10107,2019-12-31,MSFT,MICROSOFT CORP,59491810,157.7,4520222.0,0.041749,7611000.0,0.028489
10107,2020-01-31,MSFT,MICROSOFT CORP,59491810,170.23,5588346.0,0.079455,7606047.0,-0.001728
10107,2020-02-28,MSFT,MICROSOFT CORP,59491810,162.00999,8865959.0,-0.045292,7606047.0,-0.077918
10107,2020-03-31,MSFT,MICROSOFT CORP,59491810,157.71001,16102468.0,-0.026541,7590000.0,-0.141733
10107,2020-04-30,MSFT,MICROSOFT CORP,59491810,179.21001,9846428.0,0.136326,7583440.0,0.129674
10107,2020-05-29,MSFT,MICROSOFT CORP,59491810,183.25,6880424.0,0.025389,7583440.0,0.053739
10107,2020-06-30,MSFT,MICROSOFT CORP,59491810,203.50999,7637969.0,0.110559,7571000.0,0.025299
10107,2020-07-31,MSFT,MICROSOFT CORP,59491810,205.00999,7691053.0,0.007371,7567653.0,0.055531
10107,2020-08-31,MSFT,MICROSOFT CORP,59491810,225.53,6911585.0,0.10258,7567653.0,0.068442
10107,2020-09-30,MSFT,MICROSOFT CORP,59491810,210.33,7676076.0,-0.067397,7564000.0,-0.035056
10107,2020-10-30,MSFT,MICROSOFT CORP,59491810,202.47,6307778.0,-0.03737,7560496.0,-0.020178
10107,2020-11-30,MSFT,MICROSOFT CORP,59491810,214.07001,5731253.0,0.060058,7560496.0,0.123707
10107,2020-12-31,MSFT,MICROSOFT CORP,59491810,222.42,5953829.0,0.039006,7546000.0,0.045048
10107,2021-01-29,MSFT,MICROSOFT CORP,59491810,231.96001,6485677.0,0.042892,7542216.0,-0.000631
